phenomenon	figure_stem	label	title	language	clause_wo	np_wo	alignment	comp_system	strategy	anc_choice_word_order	anc_iv_order	anc_tv_order	n_pairs	accuracy	accuracy_sd	accuracy_pct	accuracy_pct_sd	accuracy_min	accuracy_max	ties_mean	tie_rate	mean_delta_good_minus_bad	mean_delta_good_minus_bad_sd	score_mode	seeds
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	27_sov_ng_er_b_no	sov	ng	erg-abs	balancing	nomn	ovs	VS	PVA	100	1.0	0.0	100.0	0.0	1.0	1.0	0.0	0.0	3.288043931325277	0.121598513819991	bos_eos	seed_42,seed_43,seed_44
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	28_sov_ng_er_d_se	sov	ng	erg-abs	deranking	sent	sov	SV	APV	100	1.0	0.0	100.0	0.0	1.0	1.0	0.0	0.0	3.134382758140564	0.08450079009116698	bos_eos	seed_42,seed_43,seed_44
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	29_sov_ng_er_d_pa	sov	ng	erg-abs	deranking	poss-acc	ovs	VS	PVA	100	1.0	0.0	100.0	0.0	1.0	1.0	0.0	0.0	2.8804623262087503	0.0571759033108412	bos_eos	seed_42,seed_43,seed_44
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	30_sov_ng_er_d_ep	sov	ng	erg-abs	deranking	erg-poss	vos	VS	AVP	100	1.0	0.0	100.0	0.0	1.0	1.0	0.0	0.0	3.022052771250407	0.3683714768227939	bos_eos	seed_42,seed_43,seed_44
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	31_sov_ng_er_d_no	sov	ng	erg-abs	deranking	nomn	ovs	VS	PVA	100	1.0	0.0	100.0	0.0	1.0	1.0	0.0	0.0	3.2287434697151185	0.198188854171599	bos_eos	seed_42,seed_43,seed_44
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	32_svo_gn_ac_b_se	svo	gn	nom-acc	balancing	sent	svo	SV	AVP	100	1.0	0.0	100.0	0.0	1.0	1.0	0.0	0.0	3.531007736523946	0.2588300561971719	bos_eos	seed_42,seed_43,seed_44
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	33_svo_gn_ac_b_pa	svo	gn	nom-acc	balancing	poss-acc	svo	SV	AVP	100	1.0	0.0	100.0	0.0	1.0	1.0	0.0	0.0	3.7250723091761273	0.18244439727011003	bos_eos	seed_42,seed_43,seed_44
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	34_svo_gn_ac_b_ep	svo	gn	nom-acc	balancing	erg-poss	sov	SV	PVA	100	1.0	0.0	100.0	0.0	1.0	1.0	0.0	0.0	3.741741136709849	0.11887428565044189	bos_eos	seed_42,seed_43,seed_44
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	35_svo_gn_ac_b_no	svo	gn	nom-acc	balancing	nomn	svo	SV	AVP	100	1.0	0.0	100.0	0.0	1.0	1.0	0.0	0.0	3.658593663374583	0.13681814954014082	bos_eos	seed_42,seed_43,seed_44
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	36_svo_gn_ac_d_se	svo	gn	nom-acc	deranking	sent	svo	SV	AVP	100	0.96	0.03605551275463988	96.0	3.605551275463989	0.93	1.0	0.0	0.0	1.174183639685313	0.014455497791955894	bos_eos	seed_42,seed_43,seed_44
