phenomenon	figure_stem	label	title	language	clause_wo	np_wo	alignment	comp_system	strategy	anc_choice_word_order	anc_iv_order	anc_tv_order	tau	accuracy_pct_seed_42	accuracy_pct_seed_43	accuracy_pct_seed_44	learning_score_seed_42	learning_score_seed_43	learning_score_seed_44	seed_disagreement
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	32_svo_gn_ac_b_se	svo	gn	nom-acc	balancing	sent	svo	SV	AVP	5.0	100.0	100.0	100.0	1.0	1.0	1.0	0.0
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	33_svo_gn_ac_b_pa	svo	gn	nom-acc	balancing	poss-acc	svo	SV	AVP	5.0	100.0	100.0	100.0	1.0	1.0	1.0	0.0
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	34_svo_gn_ac_b_ep	svo	gn	nom-acc	balancing	erg-poss	sov	SV	PVA	5.0	100.0	100.0	100.0	1.0	1.0	1.0	0.0
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	35_svo_gn_ac_b_no	svo	gn	nom-acc	balancing	nomn	svo	SV	AVP	5.0	100.0	100.0	100.0	1.0	1.0	1.0	0.0
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	36_svo_gn_ac_d_se	svo	gn	nom-acc	deranking	sent	svo	SV	AVP	5.0	95.0	93.0	100.0	0.9000078003290506	0.8600138689949057	1.0	0.13998613100509427
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	37_svo_gn_ac_d_pa	svo	gn	nom-acc	deranking	poss-acc	svo	SV	AVP	5.0	98.0	100.0	97.0	0.9600022327543785	1.0	0.9400037321744893	0.05999626782551071
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	38_svo_gn_ac_d_ep	svo	gn	nom-acc	deranking	erg-poss	sov	SV	PVA	5.0	95.0	95.0	96.0	0.9000078003290506	0.9000078003290506	0.9200055635398481	0.019997763210797492
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	39_svo_gn_ac_d_no	svo	gn	nom-acc	deranking	nomn	svo	SV	AVP	5.0	95.0	98.0	96.0	0.9000078003290506	0.9600022327543785	0.9200055635398481	0.05999443242532787
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	40_svo_gn_er_b_se	svo	gn	erg-abs	balancing	sent	svo	SV	AVP	5.0	100.0	100.0	100.0	1.0	1.0	1.0	0.0
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	41_svo_gn_er_b_pa	svo	gn	erg-abs	balancing	poss-acc	svo	SV	AVP	5.0	100.0	100.0	100.0	1.0	1.0	1.0	0.0
